"callsign","Counter","time","Latitude","Longitude","Altitude","HorizontalSpeed","Heading","Satellites","Temperature","BatteryVoltage","BatteryCurrent","gyro_x","gyro_y","gyro_z","accel_z","infrared","Temp.","timestamp"
"$CST","1793","18:37:10","52.20208","0.11659","00021","0","0","9","30.4","5.3","0.001","0.5625","0.0156","0.7109","10.31","357.0","22.4","1572719827.551*E4B8"
"$CST","1794","18:37:24","52.20210","0.11661","00027","0","0","9","30.4","5.3","0.001","0.4609","-0.1172","0.6328","10.32","357.0","22.4","1572719837.715*6780"
"$CST","1795","18:37:38","52.20211","0.11664","00032","0","0","9","30.4","5.3","0.001","0.6797","-0.2188","0.6797","10.3","357.0","22.4","1572719858.018*BB99"
"$CST","1796","18:37:52","52.20209","0.11668","00036","0","0","10","30.4","5.3","0.001","0.6016","-0.1016","0.7734","10.33","356.0","22.4","1572719868.163*3237"
"$CST","1797","18:38:06","52.20208","0.11671","00037","0","0","10","30.4","5.3","0.001","0.5391","0.0391","1.0391","10.32","357.0","22.4","1572719878.316*1ADA"
"$CST","1798","18:38:20","52.20205","0.11673","00035","0","0","8","30.4","5.3","0.001","0.2422","0.0156","0.6641","10.31","356.0","22.4","1572719898.573*E138"
"$CST","1799","18:38:34","52.20203","0.11674","00034","0","0","9","30.4","5.3","0.001","0.9531","-0.1172","0.7344","10.33","357.0","22.4","1572719908.738*CA36"
"$CST","1800","18:38:48","52.20203","0.11674","00032","0","0","9","30.4","5.3","0.002","0.5312","-0.2422","0.6406","10.33","357.0","22.4","1572719929.042*9B7F"
"$CST","1802","18:39:16","52.20200","0.11676","00029","0","0","9","30.5","5.3","0.001","0.4375","-0.1016","0.4375","10.3","357.0","22.4","1572719949.346*8762"
"$i4QAN?vMq zSu%(^[2G0l%LuU=LfO\MD=`_f& e""g8%-%-!_PzQK@Q:B"
"$CST","1803","18:39:30","52.20201","0.11676","00030","0","0","9","30.4","5.3","0.001","0.4375","-0.0547","0.7266","10.31","357.0","22.4","1572719969.636*D4B6"
"$CST","1804","18:39:44","52.20203","0.11677","00034","0","0","9","30.4","5.3","0.001","1.2109","-0.0469","0.4766","10.33","357.0","22.4","1572719979.79*9F1B"
"$CST","1805","18:39:58","52.20205","0.11679","00038","0","0","10","30.4","5.3","0.001","0.9922","-0.0703","0.4375","10.33","357.0","22.4","1572719989.944*2667"
"$CST","1806","18:40:11","52.20205","0.11682","00037","0","0","10","30.4","5.3","0.001","0.9062","0.1094","0.7656","10.3","357.0","22.3","1572720010.24*BE20"
"$CST","1865","18:53:55","52.20205","0.11669","00056","0","0","12","30.3","5.3","0.001","0.7734","-0.2344","0.5781","10.34","357.0","22.3","1572720832.242*CDFC"
"$CST","1866","18:54:09","52.20203","0.11669","00056","0","0","12","30.4","5.3","0.001","0.9297","0.0391","0.6172","10.32","358.0","22.3","1572720842.404*CEAB"
"$CST","1867","18:54:23","52.20205","0.11669","00055","0","0","12","30.4","5.3","0.001","0.5","-0.1875","0.6328","10.3","358.0","22.3","1572720862.724*9732"
"$m|]u?Q@%-%%Q@_~4S?)hQE-QK@H\u.C7P03"
"$CST","1868","18:54:36","52.20203","0.11668","00055","0","0","11","30.3","5.3","0.001","0.8125","-0.0781","0.5625","10.32","357.0","22.3","1572720872.894*EB74"
"$CST","1869","18:54:51","52.20203","0.11669","00054","0","0","12","30.4","5.3","0.001","0.6562","0.0156","0.5625","10.29","358.0","22.3","1572720883.062*91C3"
"$CST","1870","18:55:05","52.20203","0.11669","00053","0","0","12","30.4","5.3","0.001","0.5547","0.1406","0.75","10.3","358.0","22.3","1572720903.356*E95F"
"$CST","1871","18:55:18","52.20203","0.11670","00052","0","0","12","30.4","5.3","0.001","0.7344","-0.0781","0.4844","10.33","357.0","22.3","1572720913.514*D853"
"$CST","1872","18:55:32","52.20205","0.11669","00053","0","0","12","30.3","5.3","0.001","0.5625","-0.0078","0.8125","10.3","357.0","22.3","1572720923.67*47D5"
"$CST","1873","18:55:46","52.20206","0.11669","00055","0","0","12","30.3","5.3","0.001","0.4609","-0.2422","0.3438","10.33","358.0","22.3","1572720943.968*181C"
"$CST","1874","18:56:00","52.20208","0.11668","00057","0","0","11","30.3","5.3","0.001","0.7188","-0.1875","0.6797","10.3","358.0","22.3","1572720954.108*7B2A"
"$CST","1875","18:56:14","52.20209","0.11669","00057","0","0","12","30.4","5.3","0.001","0.4062","-0.1719","0.3438","10.32","357.0","22.3","1572720974.412*674F"
"$CST","1876","18:56:28","52.20212","0.11670","00054","0","0","12","30.4","5.3","0.001","0.5547","-0.2578","0.5938","10.33","358.0","22.3","1572720984.536*B1E2"
